Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
0311131L;Lycée polyvalent privé Sainte-Thérèse;Lycée;Privé;16 rue du Bugatet;BP 161;;31800;31483;Saint-Gaudens;031;16;76;;;1;0;1;05 62 00 95 10;05 62 00 95 19;http://www.stsg.fr;0311131l@ac-toulouse.fr;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;;0;77684512500058;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12993;43.105090299028824, 0.7220397950041894;CONTRAT D'ASSOCIATION TOUTES CLASSES;Haute-Garonne;Toulouse;Occitanie;514449.8;6225545.0;EPSG:2154;;43.105090299028824;0.7220397950041894;Numéro de rue;1967-05-08;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;30;0311968W;;;;;;16106;COMMINGES
0301326D;Collège André Chamson;Collège;Public;1 avenue Jean Jaurès;BP 31029;;30123;30350;Le Vigan;030;11;76;;;0;0;0;04 67 81 01 77;04 67 81 03 19;http://andre-chamson-le-vigan.mon-ent-occitanie.fr/;ce.0301326d@ac-montpellier.fr;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;1;19301326500015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14945;43.98987059800149, 3.600659390659651;SANS OBJET;Gard;Montpellier;Occitanie;748184.7;6321390.9;EPSG:2154;;43.98987059800149;3.600659390659651;Numéro de rue;1977-03-14;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0300052U;;;;034010;PAYS VIGANAIS;11116;GARD NORD-OUEST
0090038T;Collège du Sacré-Coeur;Collège;Privé;3 place Pasteur;;;09200;09261;Saint-Girons;009;16;76;;;0;0;0;05 61 66 18 44;05 61 66 18 19;http://www.sacrecoeursaintgirons.fr/;0090038t@ac-toulouse.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;77668023300017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5223;42.98453290536749, 1.1451299305303682;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ariège;Toulouse;Occitanie;548590.5;6211242.3;EPSG:2154;;42.98453290536749;1.1451299305303682;Numéro de rue;1967-04-04;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;30;0090037S;;;;;;16125;ARIEGE
0301213F;Collège Paul Valéry;Collège;Public;25 rue Jean Moulin;;;30150;30221;Roquemaure;030;11;76;;;0;0;0;04 66 82 64 58;04 66 82 89 28;http://clg-valery-roquemaure.ac-montpellier.fr/;ce.0301213f@ac-montpellier.fr;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;0;19301213500011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2132;44.04803982415313, 4.780330539805698;SANS OBJET;Gard;Montpellier;Occitanie;842661.1;6329279.2;EPSG:2154;;44.04803982415313;4.780330539805698;Numéro de rue;1972-03-07;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0301213F;;;;030004;LES 3 ROCHERS;11115;GARD NORD-EST
0340885C;Collège privé Saint-Joseph;Collège;Privé;11 avenue Marx Dormoy;BP 77;;34202;34301;Sète;034;11;76;;;0;0;0;04 67 53 69 10;04 67 53 70 80;http://www.saintjoseph-sete.fr;Stjo.sete@ac-montpellier.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;77609026800017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7351;43.40358785828183, 3.6935000399299356;CONTRAT D'ASSOCIATION TOUTES CLASSES;Hérault;Montpellier;Occitanie;756204.4;6256298.8;EPSG:2154;;43.40358785828183;3.6935000399299356;Numéro de rue;1967-02-03;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;30;;;;;034012;SETE;11114;BASSIN DE THAU
0120081Y;Collège Saint-Michel;Collège;Privé;Belmont-sur-Rance;;;12370;12025;Belmont-sur-Rance;012;16;76;;;0;0;0;05 65 98 12 88;05 65 98 12 89;https://saint-michel.mon-ent-occitanie.fr/;0120081y@ac-toulouse.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;77669294900014;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8913;43.81734676792103, 2.7550541768993853;CONTRAT D'ASSOCIATION TOUTES CLASSES;Aveyron;Toulouse;Occitanie;680290.9;6302067.6;EPSG:2154;;43.81734676792103;2.7550541768993853;Rue;1967-05-18;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;30;0120025M;;;;;;16105;MILLAU / SAINT-AFFRIQUE
0110870L;Collège Antoine Pons;Collège;Public;1 allée Pierre Louis Fabre;;;11230;11091;Chalabre;011;11;76;;;0;0;0;04 68 69 20 59;04 68 69 33 50;http://www.clg-pons-chalabre.ac-montpellier.fr;ce.0110870l@ac-montpellier.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;19110870300015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6814;42.985108904481415, 2.004979939508664;SANS OBJET;Aude;Montpellier;Occitanie;618773.9;6210039.7;EPSG:2154;;42.985108904481415;2.004979939508664;Numéro de rue;1977-09-23;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0110675Z;;;;011003;HAUTE VALLEE;11011;CARCASSONNE
0311130K;Collège Joseph Niel;Collège;Privé;Route d'Ox;BP 114;;31604;31395;Muret;031;16;76;;;0;0;0;05 61 51 03 63;05 61 51 63 59;http://www.josephniel.fr/;0311130k@ac-toulouse.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;77682542400026;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11912;43.459836163830474, 1.3140012649941166;CONTRAT D'ASSOCIATION TOUTES CLASSES;Haute-Garonne;Toulouse;Occitanie;563501.1;6263761.5;EPSG:2154;;43.459836163830474;1.3140012649941166;Rue;1967-05-08;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;30;0311168B;;;;;;16107;MURET
0110010B;Collège André Chénier;Collège;Public;75 rue de Verdun;BP 148;;11003;11069;Carcassonne;011;11;76;;;0;0;0;04 68 71 11 33;04 68 71 88 00;http://www.clg-chenier-carcassonne.ac-montpellier.fr;ce.0110010b@ac-montpellier.fr;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;19110010600019;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4743;43.21227879537586, 2.349310082875352;SANS OBJET;Aude;Montpellier;Occitanie;647089.8;6235003.3;EPSG:2154;;43.21227879537586;2.349310082875352;Numéro de rue;1965-05-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0110665N;;;;011001;CARCASSONNE;11011;CARCASSONNE
0460018V;Collège La Châtaigneraie;Collège;Public;Latronquière;;;46210;46160;Latronquière;046;16;76;;;0;0;0;05 65 40 26 51;05 65 40 35 33;https://chataigneraie.mon-ent-occitanie.fr/;0460018v@ac-toulouse.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;19460018500012;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7735;44.79943544926571, 2.0782298428108743;SANS OBJET;Lot;Toulouse;Occitanie;627106.7;6411568.1;EPSG:2154;;44.79943544926571;2.0782298428108743;Ville;1965-05-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0460015S;;;;;;16124;LOT EST
